n,shape,OP,OI,residual
4,ellip3to1_time,0.0,0.0002601146697998047,0.0
6,cube,0.9955019174016131,0.09474139776101739,-6.661338147750939e-16
6,xpoly,0.9904836235517906,0.1376306342196932,4.440892098500626e-16
6,ellip_3to1,0.9571459778511485,0.28960589960041777,-1.4432899320127035e-15
6,ellip_2to1,0.9848643799726755,0.17332672344747377,-3.3306690738754696e-16
6,ellip3to1+smooth0.0,0.9571459778511485,0.28960589960041777,-1.4432899320127035e-15
6,ellip3to1+smooth0.1,0.962130073028207,0.272590760251951,-4.440892098500626e-16
6,ellip3to1+smooth0.2,0.9662962110718407,0.2574327727159156,-4.440892098500626e-16
6,ellip3to1+smooth0.3,0.9698115257858162,0.24385570416331556,-7.771561172376096e-16
6,ellip3to1+smooth0.5,0.9753689082355445,0.22057990127706897,-6.661338147750939e-16
6,ellip3to1+jitter0.0,0.9571459778511485,0.28960589960041777,-1.4432899320127035e-15
6,ellip3to1+jitter0.05,0.956671218919642,0.29117036059806234,-6.661338147750939e-16
6,ellip3to1+jitter0.1,0.9554501570144012,0.29515249865307663,-1.7763568394002505e-15
6,ellip3to1+jitter0.2,0.9490785946715695,0.31503939616536475,-1.1102230246251565e-15
6,ellip3to1_time,0.0,0.00023698806762695312,0.0
8,cube,0.9964228861387442,0.08450699366879275,2.220446049250313e-15
8,xpoly,0.9892972759049995,0.14591401538901969,-2.220446049250313e-16
8,ellip_3to1,0.9656907582052354,0.25969474295218115,1.7763568394002505e-15
8,ellip_2to1,0.9889708096692165,0.14811055878031026,1.3322676295501878e-15
8,ellip3to1+smooth0.0,0.9656907582052354,0.25969474295218115,1.7763568394002505e-15
8,ellip3to1+smooth0.1,0.9699580950827317,0.24327205713661568,2.220446049250313e-15
8,ellip3to1+smooth0.2,0.9734782308674809,0.22877966261694094,1.5543122344752192e-15
8,ellip3to1+smooth0.3,0.9764140090027228,0.21590665349459007,2.220446049250313e-15
8,ellip3to1+smooth0.5,0.9809878610646225,0.19406910223901971,2.220446049250313e-15
8,ellip3to1+jitter0.0,0.9656907582052354,0.25969474295218115,1.7763568394002505e-15
8,ellip3to1+jitter0.05,0.9650368701260703,0.26211417225568023,2.220446049250313e-15
8,ellip3to1+jitter0.1,0.9635717511041016,0.2674499588225383,2.220446049250313e-15
8,ellip3to1+jitter0.2,0.9562645023752481,0.2925033358733209,1.5543122344752192e-15
8,ellip3to1_time,0.0,0.00027489662170410156,0.0
10,cube,0.9969265885156192,0.07834141376442415,-5.551115123125783e-16
10,xpoly,0.988850459563451,0.14891194922218745,-5.551115123125783e-16
10,ellip_3to1,0.9697723675583151,0.24401138317779397,0.0
10,ellip_2to1,0.9909176423988569,0.1344701676309306,-4.440892098500626e-16
10,ellip3to1+smooth0.0,0.9697723675583151,0.24401138317779397,0.0
